AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	case	R1	S1	Rn	Sn	distance	model
0.794276859504132	0.758863636363636	0.723545868945869	0.830454545454545	extend_E_coli	amoxicillin	CWSI	3	0	92	200	223	1.864204098274	LightGBM
0.619967682363804	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	279	109	324	0	1.79078073568618	LightGBM
0.57984375	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	109	325	0	1.79078073568618	LightGBM
0.642515943877551	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.676776147959184	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.510489477040816	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.748926977040817	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.637807716836735	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.657227359693878	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.496822385204082	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.659869260204082	0.5	0.0	0.0	extend_E_coli	amoxicillin	CWSI	0	280	110	325	0	1.79078073568618	LightGBM
0.614163403346387	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	279	109	0	295	1.79078073568618	LightGBM
0.67748131007476	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	109	0	295	1.79078073568618	LightGBM
0.590468138127448	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	295	1.79078073568618	LightGBM
0.704482022071912	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	295	1.79078073568618	LightGBM
0.610268778924884	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	295	1.79078073568618	LightGBM
0.744106443574226	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	295	1.79078073568618	LightGBM
0.757262370950516	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	295	1.79078073568618	LightGBM
0.688593805624777	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	295	1.79078073568618	LightGBM
0.595819156804734	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	296	1.79078073568618	LightGBM
0.629622781065089	0.5	0.5	1.0	extend_E_coli	amoxicillin	CWSI	1	280	110	0	296	1.79078073568618	LightGBM
0.862734693877551	0.796714285714286	0.813973499223737	0.771428571428572	extend_E_coli	amoxicillin	CWSI	2	261	0	342	313	1.79078073568618	LightGBM
0.918461224489796	0.892	0.874755898755899	0.914285714285714	extend_E_coli	amoxicillin	CWSI	2	262	0	343	313	1.79078073568618	LightGBM
