AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	fold	case	R1	S1	Rn	Sn	distance	model	split
0.6401388888888888	0.75	1.0	0.5	Klebsiella pneumoniae	amikacin	PSI	34	A-d	0	64	339	58	4.308972766337762	LightGBM	scheme
0.6852777777777779	0.6275	0.8406666666666668	0.3333333333333334	Klebsiella pneumoniae	amikacin	PSI	35	A-d	0	64	339	58	4.308972766337762	LightGBM	scheme
0.782638888888889	0.5758333333333333	0.92	0.1666666666666667	Klebsiella pneumoniae	amikacin	PSI	36	A-d	0	64	339	58	4.308972766337762	LightGBM	scheme
0.59125	0.6666666666666669	1.0	0.3333333333333334	Klebsiella pneumoniae	amikacin	PSI	37	A-d	0	64	340	58	4.308972766337762	LightGBM	scheme
0.6509722222222223	0.6475000000000002	0.97	0.3333333333333334	Klebsiella pneumoniae	amikacin	PSI	38	A-d	0	64	340	58	4.308972766337762	LightGBM	scheme
0.6934722222222223	0.5741666666666667	0.925	0.1666666666666667	Klebsiella pneumoniae	amikacin	PSI	39	A-d	0	64	340	58	4.308972766337762	LightGBM	scheme
0.488256	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	40	A-a	212	81	38	0	2.058891203975465	LightGBM	scheme
0.5301119999999999	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	41	A-a	212	82	38	0	2.058891203975465	LightGBM	scheme
0.5789199999999999	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	42	A-a	212	82	38	0	2.058891203975465	LightGBM	scheme
0.4311024305555556	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	43	A-a	212	82	39	0	2.058891203975465	LightGBM	scheme
0.4979340277777778	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	44	A-a	212	82	39	0	2.058891203975465	LightGBM	scheme
0.6230815972222221	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	45	A-a	212	82	39	0	2.058891203975465	LightGBM	scheme
0.5542968749999999	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	46	A-a	213	82	39	0	2.058891203975465	LightGBM	scheme
0.5581510416666667	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	47	A-a	213	82	39	0	2.058891203975465	LightGBM	scheme
0.4835850694444443	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	48	A-a	213	82	39	0	2.058891203975465	LightGBM	scheme
0.5595833333333333	0.5	0.0	0.0	Klebsiella pneumoniae	amikacin	PSI	49	A-a	213	82	39	0	2.058891203975465	LightGBM	scheme
0.6293464052287582	0.531470588235294	0.5168546066851583	1.0	Klebsiella pneumoniae	amikacin	PSI	50	A-b	212	81	0	275	2.058891203975465	LightGBM	scheme
0.5972798923490966	0.5385294117647058	0.5201766010747929	1.0	Klebsiella pneumoniae	amikacin	PSI	51	A-b	212	82	0	275	2.058891203975465	LightGBM	scheme
0.6024298346789698	0.5399999999999999	0.5207709912081047	1.0	Klebsiella pneumoniae	amikacin	PSI	52	A-b	212	82	0	275	2.058891203975465	LightGBM	scheme
