AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	fold	case	R1	S1	Rn	Sn
0.9773372781065090	0.7692307692307690	1.0	0.5384615384615380	extend_E_coli	amoxicillin	CWSI	0	0	279	109	181	0
0.9401183431952660	0.7876923076923080	0.9402222222222220	0.6153846153846150	extend_E_coli	amoxicillin	CWSI	1	0	280	109	181	0
0.9336111111111110	0.6945833333333330	0.9488095238095240	0.4166666666666670	extend_E_coli	amoxicillin	CWSI	2	0	280	110	182	0
0.9666666666666670	0.8175000000000000	0.9584444444444440	0.6666666666666670	extend_E_coli	amoxicillin	CWSI	3	0	280	110	182	0
0.9378472222222220	0.8250000000000000	0.9833333333333330	0.6666666666666670	extend_E_coli	amoxicillin	CWSI	4	0	280	110	182	0
0.9405902777777780	0.9008333333333330	0.9768181818181820	0.8333333333333330	extend_E_coli	amoxicillin	CWSI	5	0	280	110	182	0
0.9509722222222220	0.8562500000000000	0.9600909090909090	0.75	extend_E_coli	amoxicillin	CWSI	6	0	280	110	182	0
0.9056944444444450	0.7725000000000000	0.9398611111111110	0.5833333333333330	extend_E_coli	amoxicillin	CWSI	7	0	280	110	182	0
0.9750347222222220	0.8520833333333330	0.946590909090909	0.75	extend_E_coli	amoxicillin	CWSI	8	0	280	110	182	0
0.9052777777777780	0.7537500000000000	0.8995075757575760	0.5833333333333330	extend_E_coli	amoxicillin	CWSI	9	0	280	110	182	0
0.969453125	0.92125	0.9358944685519070	0.9096875	extend_E_coli	amoxicillin	CWSI	10	1	279	109	0	204
0.9579396462018730	0.8920967741935490	0.8754687523103080	0.9087096774193550	extend_E_coli	amoxicillin	CWSI	11	1	280	109	0	204
0.9604942767950050	0.883225806451613	0.928753074856384	0.8406451612903230	extend_E_coli	amoxicillin	CWSI	12	1	280	110	0	204
0.9795317377731530	0.9235483870967740	0.9070610876315330	0.9470967741935480	extend_E_coli	amoxicillin	CWSI	13	1	280	110	0	204
0.9821279916753380	0.9529032258064520	1.0	0.9093548387096770	extend_E_coli	amoxicillin	CWSI	14	1	280	110	0	204
0.9779292403746100	0.9220967741935490	0.9070898201656030	0.9416129032258070	extend_E_coli	amoxicillin	CWSI	15	1	280	110	0	204
0.9872216441207080	0.9183870967741940	0.8818823529411770	0.9629032258064520	extend_E_coli	amoxicillin	CWSI	16	1	280	110	0	204
0.9549739854318420	0.885967741935484	0.8752512650221380	0.9090322580645160	extend_E_coli	amoxicillin	CWSI	17	1	280	110	0	205
0.9780801248699270	0.94	0.9358818426197460	0.9470967741935480	extend_E_coli	amoxicillin	CWSI	18	1	280	110	0	205
0.9394224765868890	0.8401612903225810	0.8006880329527390	0.9048387096774190	extend_E_coli	amoxicillin	CWSI	19	1	280	110	0	205
0.9346080000000000	0.8648000000000000	0.8403330583760370	0.9200000000000000	extend_E_coli	amoxicillin	CWSI	20	2	261	0	199	222
0.9671520000000000	0.9336	0.925036301629405	0.96	extend_E_coli	amoxicillin	CWSI	21	2	262	0	199	222
0.9684160000000000	0.8704000000000000	0.9334650856389990	0.8000000000000000	extend_E_coli	amoxicillin	CWSI	22	2	262	0	200	222
0.956104	0.8804000000000000	0.909865855883247	0.8400000000000000	extend_E_coli	amoxicillin	CWSI	23	2	262	0	200	222
0.9812960000000000	0.958	0.9525333333333330	0.96	extend_E_coli	amoxicillin	CWSI	24	2	262	0	200	222
0.9626400000000000	0.8738000000000000	0.8929432198236550	0.8400000000000000	extend_E_coli	amoxicillin	CWSI	25	2	262	0	200	222
0.9714720000000000	0.9378000000000000	0.919486354258768	0.96	extend_E_coli	amoxicillin	CWSI	26	2	262	0	200	222
0.9914409722222220	0.9510416666666670	0.9473601139601140	0.9583333333333330	extend_E_coli	amoxicillin	CWSI	27	2	262	0	200	223
0.9471180555555560	0.8708333333333330	0.881922110739502	0.875	extend_E_coli	amoxicillin	CWSI	28	2	262	0	200	223
0.9460763888888890	0.8172916666666670	0.85207760751834	0.75	extend_E_coli	amoxicillin	CWSI	29	2	262	0	200	223
0.864820415879017	0.6663043478260870	0.6017425320056900	0.9852173913043480	extend_E_coli	amoxicillin	CWSI	30	3	0	91	199	222
0.9662381852551990	0.8160869565217390	0.7378924731182790	0.9804347826086960	extend_E_coli	amoxicillin	CWSI	31	3	0	91	199	222
0.9558161157024790	0.8577272727272730	0.8053190883190880	0.9504545454545450	extend_E_coli	amoxicillin	CWSI	32	3	0	92	200	222
0.9389462809917360	0.8418181818181820	0.7995022944044680	0.9127272727272730	extend_E_coli	amoxicillin	CWSI	33	3	0	92	200	222
0.9445041322314050	0.7954545454545450	0.7096774193548390	1.0	extend_E_coli	amoxicillin	CWSI	34	3	0	92	200	222
0.8935330578512400	0.7120454545454550	0.6480901696329260	0.924090909090909	extend_E_coli	amoxicillin	CWSI	35	3	0	92	200	222
0.9172107438016530	0.8595454545454550	0.8058660968660970	0.9477272727272730	extend_E_coli	amoxicillin	CWSI	36	3	0	92	200	222
0.9638842975206610	0.8234090909090910	0.7516411238825030	0.9636363636363640	extend_E_coli	amoxicillin	CWSI	37	3	0	92	200	223
0.9098657024793390	0.7102272727272730	0.6484688079347420	0.9245454545454540	extend_E_coli	amoxicillin	CWSI	38	3	0	92	200	223
0.9105888429752070	0.8013636363636360	0.744198231653404	0.9227272727272730	extend_E_coli	amoxicillin	CWSI	39	3	0	92	200	223
0.9682248520710060	0.7642307692307700	0.9725	0.5384615384615380	extend_E_coli	amoxicillin	CWSI	40	0	279	109	324	0
