AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	fold	case	R1	S1	Rn	Sn
0.899801737580753	0.8243283582089550	0.8608853579949920	0.7761194029850750	extend_E_coli	amoxicillin	CWSI	0	0	1050	598	181	0
0.9484294943194480	0.8782089552238800	0.9101793142555620	0.8358208955223880	extend_E_coli	amoxicillin	CWSI	1	0	1050	598	181	0
0.9011004678102030	0.8098507462686570	0.9128572621199370	0.6865671641791050	extend_E_coli	amoxicillin	CWSI	2	0	1050	598	182	0
0.9542169748273560	0.8957462686567170	0.9385496113147030	0.8507462686567170	extend_E_coli	amoxicillin	CWSI	3	0	1050	598	182	0
0.9309333927378030	0.908582089552239	0.943391520431664	0.8656716417910450	extend_E_coli	amoxicillin	CWSI	4	0	1050	598	182	0
0.9002754820936640	0.7965151515151510	0.8425408654566720	0.7272727272727280	extend_E_coli	amoxicillin	CWSI	5	0	1050	599	182	0
0.9094490358126720	0.8431060606060610	0.8864703525746700	0.7878787878787880	extend_E_coli	amoxicillin	CWSI	6	0	1050	599	182	0
0.943085399449036	0.8795454545454550	0.9083071865996370	0.8484848484848480	extend_E_coli	amoxicillin	CWSI	7	0	1051	599	182	0
0.9165174471992650	0.8500757575757570	0.8940499325566170	0.7878787878787880	extend_E_coli	amoxicillin	CWSI	8	0	1051	599	182	0
0.907059228650138	0.797651515151515	0.8784607589617390	0.6969696969696970	extend_E_coli	amoxicillin	CWSI	9	0	1051	599	182	0
0.9244772727272730	0.8419545454545460	0.8397957362670670	0.8454545454545460	extend_E_coli	amoxicillin	CWSI	10	1	1050	598	0	204
0.9536950413223140	0.9030000000000000	0.9130349928486060	0.8909090909090910	extend_E_coli	amoxicillin	CWSI	11	1	1050	598	0	204
0.9211644628099170	0.8616818181818180	0.9125305391687160	0.8000000000000000	extend_E_coli	amoxicillin	CWSI	12	1	1050	598	0	204
0.9642413223140500	0.8981363636363640	0.9046915077173400	0.8909090909090910	extend_E_coli	amoxicillin	CWSI	13	1	1050	598	0	204
0.9506735537190080	0.8977272727272730	0.9191345353675450	0.8727272727272730	extend_E_coli	amoxicillin	CWSI	14	1	1050	598	0	204
0.9222110933423110	0.8331192660550460	0.8193986681236910	0.8532110091743120	extend_E_coli	amoxicillin	CWSI	15	1	1050	599	0	204
0.9332110091743120	0.879770642201835	0.892993597963373	0.8623853211009170	extend_E_coli	amoxicillin	CWSI	16	1	1050	599	0	204
0.9405135459533610	0.8710648148148150	0.8643305023121540	0.8796296296296300	extend_E_coli	amoxicillin	CWSI	17	1	1051	599	0	205
0.936855281207133	0.8700462962962960	0.8765857014052850	0.861111111111111	extend_E_coli	amoxicillin	CWSI	18	1	1051	599	0	205
0.936935013717421	0.8477314814814820	0.8575334914215660	0.8333333333333330	extend_E_coli	amoxicillin	CWSI	19	1	1051	599	0	205
0.9287349953831950	0.8664912280701750	0.9330955650530330	0.7894736842105260	extend_E_coli	amoxicillin	CWSI	20	0	907	507	324	0
0.9081609726069560	0.7888596491228070	0.8827571518543640	0.6666666666666670	extend_E_coli	amoxicillin	CWSI	21	0	907	507	325	0
0.9535610957217600	0.8395614035087720	0.9300153053674240	0.736842105263158	extend_E_coli	amoxicillin	CWSI	22	0	907	507	325	0
0.9135703293321020	0.8639473684210530	0.9262805653144350	0.7894736842105260	extend_E_coli	amoxicillin	CWSI	23	0	907	507	325	0
0.9102168367346940	0.8135714285714290	0.8900545683695310	0.714285714285714	extend_E_coli	amoxicillin	CWSI	24	0	907	508	325	0
0.9401721938775510	0.8293750000000000	0.9185079684313970	0.714285714285714	extend_E_coli	amoxicillin	CWSI	25	0	907	508	325	0
0.9388520408163270	0.8792857142857140	0.945801183794517	0.8035714285714290	extend_E_coli	amoxicillin	CWSI	26	0	907	508	325	0
0.9100876913265300	0.8331250000000000	0.9000501198453290	0.75	extend_E_coli	amoxicillin	CWSI	27	0	907	508	325	0
0.9391167091836740	0.8683928571428570	0.9244622550187090	0.8035714285714290	extend_E_coli	amoxicillin	CWSI	28	0	908	508	325	0
0.9292793367346940	0.775267857142857	0.91382724306922	0.6071428571428570	extend_E_coli	amoxicillin	CWSI	29	0	908	508	325	0
0.9480237231643960	0.8909405940594060	0.8831709478414220	0.9009900990099010	extend_E_coli	amoxicillin	CWSI	30	1	907	507	0	295
0.9243182040976380	0.8258910891089110	0.8435112912504800	0.7992079207920790	extend_E_coli	amoxicillin	CWSI	31	1	907	507	0	295
0.9674757376727770	0.8897524752475250	0.8835881160529940	0.900792079207921	extend_E_coli	amoxicillin	CWSI	32	1	907	507	0	295
0.9261729242231150	0.857772277227723	0.8531295922823470	0.8620792079207920	extend_E_coli	amoxicillin	CWSI	33	1	907	507	0	295
0.9344289775512210	0.8794554455445550	0.859504271872687	0.907623762376238	extend_E_coli	amoxicillin	CWSI	34	1	907	508	0	295
0.9489422605626900	0.8714356435643560	0.8713146967409480	0.8714851485148520	extend_E_coli	amoxicillin	CWSI	35	1	907	508	0	295
0.9457357121850800	0.9141089108910900	0.9198500791255600	0.908910891089109	extend_E_coli	amoxicillin	CWSI	36	1	907	508	0	295
0.9301676306244490	0.8707425742574260	0.8570117365001420	0.8910891089108910	extend_E_coli	amoxicillin	CWSI	37	1	907	508	0	295
0.9543830000000000	0.8752000000000000	0.8864258608598080	0.8624000000000000	extend_E_coli	amoxicillin	CWSI	38	1	908	508	0	296
0.9198370000000000	0.8456	0.8490177721853810	0.8422000000000000	extend_E_coli	amoxicillin	CWSI	39	1	908	508	0	296
