	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.418962683278828					
clade_2	2.01532779634387	2.01530543055959				
clade_3	1.945657698453637	1.9456386475451288	2.0466763396392595			
clade_4	1.9965938804980154	1.99657245895807	2.112001270391617	2.1172306177241147		
val	1.6747592563377212	1.6747490464334591	1.7259656304068343	1.7218158427998427	1.751514020832372	
