	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.370002575038994					
clade_2	1.9969499861622748	1.9968041064854711				
clade_3	1.9422917004394824	1.9421630695918168	2.0454082467526034			
clade_4	1.996186711426259	1.9960410878656132	2.1149600054158264	2.1118177316826423		
val	1.6610053678365546	1.66093805630693	1.7119037636136323	1.7046128892926486	1.734972215498832	
