	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.316472472714889					
clade_2	2.040660745684895	2.0407275768612445				
clade_3	1.9439127861693486	1.943966270242317	2.036205860890178			
clade_4	1.99584611330233	1.9959063916302575	2.101401960203587	2.114327798883769		
val	1.6861653662728564	1.6861949099863334	1.734709656542027	1.7337499855057006	1.7650191435237605	
