	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.352222158423371					
clade_2	2.042746572589054	2.042964437004388				
clade_3	1.9438149152158037	1.9439883884397062	2.0371313949953933			
clade_4	1.9959310886007178	1.9961266844721464	2.102727292257932	2.1142603378242515		
val	1.6244738115544997	1.62455695847809	1.6667157583588366	1.6653858448354746	1.692055190065551	
