	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.415149477599837					
clade_2	2.034581775478712	2.0344484482632272				
clade_3	1.9461816901010045	1.9460729146230837	2.0434935354583454			
clade_4	1.9963813550332927	1.9962592526892569	2.107268766861112	2.1175998051076026		
val	1.5815155107585392	1.5814685326290805	1.6208971493753397	1.6192800607878335	1.6422074370475317	
