	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.305830881716726					
clade_2	2.070134416171851	2.070275792081288				
clade_3	1.9457577553672138	1.945863920313951	2.0333152925222153			
clade_4	1.9955413657677594	1.9956604272279692	2.095044233843565	2.116810532095469		
val	1.6174497304205737	1.6174995781020873	1.656377593481843	1.6587428890778277	1.6837380012920953	
