	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.295396473092335					
clade_2	2.0315030059953516	2.0316483203195492				
clade_3	1.9444083495507003	1.944527254673598	2.0411193157740173			
clade_4	1.995917841662035	1.9960517222298422	2.1064884426880095	2.115389665937032		
val	1.6088309658936375	1.608885868275001	1.650833129290002	1.6486196937159763	1.673923680633645	
