	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	4.308972766337762					
clade_2	2.058891203975465	2.0590116331706256				
clade_3	1.9461040497807542	1.9461969316306753	2.0345397778960366			
clade_4	1.9959229793400604	1.9960271524025022	2.0964475223725882	2.117789136420533		
val	1.6188409027395831	1.6188846190123876	1.6582363145468884	1.6604384890046098	1.6855309515221395	
