	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.805097420134696				
clade_2	1.3972330073017363	1.445141454842178			
clade_3	1.3086982803552711	1.3473646207762002	1.4252717353055209		
val	1.2911848264489247	1.3282557583215029	1.4025051246696802	1.6223611940106502	
