	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	1.8642040982739987					
clade_2	1.7907807356861833	1.9427014596233845				
clade_3	1.3679956037765322	1.4193412344260843	1.406526508237754			
clade_4	1.3166696885893197	1.361982070317115	1.3507324891648482	1.4494488684582307		
val	1.2993231369789453	1.3427694779279165	1.3320007304483135	1.4260632321688111	1.6563020398035864	
