	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8154204328730368				
clade_2	1.3642353692040103	1.40795629530884			
clade_3	1.3132788241264388	1.3519370076865782	1.4416393973459847		
val	1.2934352651193814	1.3302914111585726	1.4151762828953909	1.640091300853129	
