	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8152262471167073				
clade_2	1.364457562711553	1.4082345843956687			
clade_3	1.311954696535986	1.350518319198578	1.4395622126943968		
val	1.2947574551747851	1.3317582006174584	1.4166438430230623	1.6369925152362859	
