	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8062851604444115				
clade_2	1.3712117116191704	1.4166024085807625			
clade_3	1.3079213096175453	1.3468713797042298	1.425374646733636		
val	1.2905046967776888	1.3278558374424434	1.402688436000321	1.6244721198350125	
