	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8134478477050415				
clade_2	1.371959123700338	1.416753353330119			
clade_3	1.3108268425559164	1.3494691515560167	1.436204756612312		
val	1.2936232810473238	1.3306988226573968	1.4133923899356933	1.6291907657448585	
