	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8084785241312036				
clade_2	1.3755114719080672	1.4217795078276712			
clade_3	1.3081080158427416	1.3474135317576748	1.4264460726574482		
val	1.29184206422532	1.3296378929112733	1.405208072532054	1.625933903707808	
