	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8132200735049013				
clade_2	1.370875404080041	1.4155758240556717			
clade_3	1.3105325217529336	1.3491678550046182	1.435236548761905		
val	1.2952980793794284	1.332542828245052	1.4150511066773799	1.6331276570255204	
