	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	1.8605962416004995					
clade_2	1.7857175904934772	1.939884248324753				
clade_3	1.3648815166201511	1.4171475949098493	1.4035975210096605			
clade_4	1.3071310009434647	1.352535941328789	1.340833983049305	1.4354567318340812		
val	1.2951194651803375	1.3392207176217032	1.3278675128809518	1.4193915179727827	1.62636578612528	
