	clade_0	clade_1	clade_2	clade_3	val
clade_0					
clade_1	1.8147788986179192				
clade_2	1.3655375142109296	1.4102349613364824			
clade_3	1.3112132319489662	1.3504101989197566	1.4389303688724548		
val	1.2943651640300113	1.332004057062716	1.41646883861795	1.631282635055681	
