	clade_0	clade_1	clade_2	clade_3	clade_4	val
clade_0						
clade_1	1.857656982899237					
clade_2	1.7816041623446335	1.9380885669169292				
clade_3	1.3723282992453987	1.4268107026696788	1.4123274076968446			
clade_4	1.3061449746463187	1.3524989897623747	1.340261722794096	1.4291670339875855		
val	1.2944834606793978	1.3395433509163086	1.327660873119815	1.413753883006076	1.619918701270019	
